sample_id	sample_name
RSCE_2_BC2CTUACXX_CGATGT_L007_R1.bam	A549_rep1
RSCE_4_BC2CTUACXX_TGACCA_L006_R1.bam	A549_rep2
RSCE_6_BC2CTUACXX_CTTGTA_L005_R1.bam	H1975_rep1
RSCE_8_BC2CTUACXX_CCGTCC_L007_R1.bam	H1975_rep2
RSCE_10_BC2CTUACXX_AGTTCC_L006_R1.bam	HCC827_rep1
RSCE_12_BC2CTUACXX_TGACCA_L005_R1.bam	HCC827_rep2
RSCE_14_BC2CTUACXX_GTCCGC_L003_R1.bam	H2228_rep1
RSCE_16_BC2CTUACXX_AGTTCC_L004_R1.bam	H2228_rep2
RSCE_18_BC2CTUACXX_CAGATC_L003_R1.bam	H838_rep1
RSCE_20_BC2CTUACXX_GTGAAA_L005_R1.bam	H838_rep2
