"A6_bulk_NoDrug" "C10_bulk_NoDrug"
"MT-TF" 0 0
"MT-RNR1" 0 0
"MT-TV" 0 0
"MT-RNR2" 0 0
"MT-TL1" 0 0
"MT-ND1" 0 0
"MT-TI" 0 0
"MT-TQ" 0 0
"MT-TM" 0 0
"MT-ND2" 0 0
"MT-TW" 0 0
"MT-TA" 0 0
"MT-TN" 0 0
"MT-TC" 0 0
"MT-TY" 0 0
"MT-CO1" 0 0
"MT-TS1" 0 0
"MT-TD" 0 0
"MT-CO2" 0 0
"MT-TK" 0 0
"MT-ATP8" 0 0
"MT-ATP6" 0 0
"MT-CO3" 0 0
"MT-TG" 0 0
"MT-ND3" 0 0
"MT-TR" 0 0
"MT-ND4L" 0 0
"MT-ND4" 0 0
"MT-TH" 0 0
"MT-TS2" 0 0
"MT-TL2" 0 0
"MT-ND5" 0 0
"MT-ND6" 0 0
"MT-TE" 0 0
"MT-CYB" 0 0
"MT-TT" 0 0
"MT-TP" 0 0
"RP11-460H9.1" 0 0
"C2orf76" 5.40541240137121 4.29194013601898
"ACTL10" 3.88276102070326 5.77191949326691
"CEP135" 10.9630899408092 10.3598555007355
"AC005609.2" 0 0
"RP11-613M10.6" 1.29425367356775 1.77597522869751
"NDUFB5P1" 0 0
"MIIP" 68.3670469919908 90.8707325350226
"RP11-578O24.2" 0.380662845166987 0.221996903587189
"PRSS3P4" 0 0
"RP11-98I9.4" 3.80662845166986 1.84997419655991
"C20orf144" 0.989723397434165 0.961986582211151
"RP11-485G7.6" 0.989723397434165 0.443993807174378
"CCDC86" 69.9658309416921 79.8448863235256
"AC004076.9" 0.152265138066795 0
"TRIM6" 3.34983303746948 2.29396800373428
"SBF1P1" 5.10088212523762 6.88190401120285
"RP11-628E19.2" 0 0
"NKD1" 1.75104908776814 0.739989678623963
"AL772307.1" 0 0
"GNL3" 110.163827391326 122.246294908679
"ERICH6" 0.228397707100192 0
"RP11-255A11.4" 0 0.0739989678623963
"SRGAP3-AS4" 0 0
"RP11-201O14.2" 0 0
"RP11-778D9.9" 0 0
"RP11-362A9.3" 0 0
"RPL31P59" 0 0
"RP11-209M4.1" 0.685193121300576 1.25798245366074
"RP11-999E24.3" 0 0
"TM9SF1" 7.38485919623954 9.17587201493714
"CEP70" 11.496017924043 5.62392155754212
"FAM187B2P" 0.0761325690333973 0
"RP11-416O18.2" 0 0
"RP11-306O13.1" 0 0
"SLC25A6P3" 0.228397707100192 0.147997935724793
