p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
CD3D 4.03350437698142e-159 0.879451917818534 1 1 5.53154790259232e-155 0 CD3D
RPS12 1.60999925722653e-150 0.615746027562743 1 1 2.20795298136046e-146 0 RPS12
RPS6 4.27056278327362e-140 0.542212806908734 1 1 5.85664980098145e-136 0 RPS6
LDHB 4.39814056082628e-133 0.903292362457857 1 1 6.03160996511716e-129 0 LDHB
LTB 8.58280679043715e-133 0.939860771339506 1 1 1.17704612324055e-128 0 LTB
RPS3 1.15342832673217e-131 0.53360874983129 1 1 1.58181160728049e-127 0 RPS3
RPS27 3.34033943830318e-131 0.549776723955465 1 1 4.58094150568897e-127 0 RPS27
IL32 1.71644258322786e-129 0.794919372239637 1 1 2.35392935863869e-125 0 IL32
RPL3 2.1244619150566e-129 0.545932610672941 1 1 2.91348707030862e-125 0 RPL3
MAL 1.2122135293485e-125 0.817206954559308 1 1 1.66242963414854e-121 0 MAL
IL7R 2.03073828760902e-123 1.03981592635517 1 1 2.78495448762701e-119 0 IL7R
CD3E 4.42519884049861e-122 0.850468746924644 1 1 6.0687176898598e-118 0 CD3E
RPS27A 4.47339767279151e-122 0.641371536944385 1 1 6.13481756846627e-118 0 RPS27A
AC013264.2 3.28893015746837e-115 0.327171164960099 1 1 4.51043881795212e-111 0 AC013264.2
RPS25 1.63907008765445e-109 0.604563527043769 1 1 2.24782071820931e-105 0 RPS25
RPS14 7.02988137005753e-109 0.484084216642728 1 1 9.6407793108969e-105 0 RPS14
RPS15A 1.9648410476964e-107 0.524297121479733 1 1 2.69458301281085e-103 0 RPS15A
RPL13 5.44855025709712e-107 0.415536304756161 1 1 7.47214182258299e-103 0 RPL13
RPL13A 5.00869336954391e-106 0.412908401038763 1 1 6.86892208699252e-102 0 RPL13A
RPS18 2.76436048049604e-105 0.449219944932389 1 1 3.79104396295226e-101 0 RPS18
AQP3 9.97453058081697e-103 0.782009981069523 1 1 1.36790712385324e-98 0 AQP3
RPL23A 1.5307146601413e-100 0.501188893341233 1 1 2.09922208491778e-96 0 RPL23A
RPLP2 5.57151022501721e-100 0.474319017366139 1 1 7.6407691225886e-96 0 RPLP2
RPL9 1.43606705441447e-98 0.532282197249139 1 1 1.969422358424e-94 0 RPL9
CD27 7.52049562467305e-98 0.783780342851761 1 1 1.03136076996766e-93 0 CD27
RPL32 1.28472193251567e-97 0.431115214110965 1 1 1.76186765825198e-93 0 RPL32
MALAT1 1.04711217218333e-96 0.427249414935162 1 1 1.43600963293222e-92 0 MALAT1
RPS3A 3.60404085748115e-95 0.542925065377398 1 1 4.94258163194965e-91 0 RPS3A
PCSK1N 3.87361736103469e-95 0.27552645034836 1 1 5.31227884892297e-91 0 PCSK1N
RPL21 3.98192714293713e-95 0.490074993823463 1 1 5.46081488382398e-91 0 RPL21
RPSA 2.11709318448374e-92 0.550920895146776 1 1 2.903381593201e-88 0 RPSA
TRAT1 1.95350967752804e-91 0.639840656481039 1 1 2.67904317176196e-87 0 TRAT1
PRKCQ-AS1 2.09954199407329e-90 0.584342727653764 1 1 2.8793118906721e-86 0 PRKCQ-AS1
RPL30 5.76017201468527e-88 0.509594631561635 1 1 7.89949990093938e-84 0 RPL30
CD2 5.91485759487039e-88 0.847500384726963 1 1 8.11163570560525e-84 0 CD2
FHIT 7.81113216331565e-86 0.434758801525427 1 1 1.07121866487711e-81 0 FHIT
LDLRAP1 8.37574548341248e-85 0.633667431338856 1 1 1.14864973559519e-80 0 LDLRAP1
RPS4X 1.5212994336699e-84 0.446413277351263 1 1 2.0863100433349e-80 0 RPS4X
RPL27A 4.10022683298829e-83 0.438888680374069 1 1 5.62305107876013e-79 0 RPL27A
RPL31 1.1684589306689e-82 0.523100433839998 1 1 1.60242457751932e-78 0 RPL31
EEF1A1 1.33173864553088e-79 0.412209761077682 1 1 1.82634637848104e-75 0 EEF1A1
FLT3LG 3.85942926804544e-79 0.652712438524724 1 1 5.29282129819752e-75 0 FLT3LG
CCR7 5.93730868428874e-75 0.684018595584928 1 1 8.14242512963358e-71 0 CCR7
PIK3IP1 7.67834699644788e-74 0.687079435804409 1 1 1.05300850709286e-69 0 PIK3IP1
RPS29 3.33499228757696e-72 0.533827333510083 1 1 4.57360842318305e-68 0 RPS29
RPLP0 4.74166047637534e-72 0.502188258624436 1 1 6.50271317730114e-68 0 RPLP0
FBLN5 2.14486657265014e-71 0.298096847662726 1 1 2.9414700177324e-67 0 FBLN5
TPT1 4.1200127296404e-71 0.464533170367835 1 1 5.65018545742884e-67 0 TPT1
RPL10 9.68703598822878e-71 0.294764621337819 1 1 1.3284801154257e-66 0 RPL10
RPL11 4.20715120148174e-69 0.334694706696166 1 1 5.76968715771206e-65 0 RPL11
FAM102A 1.34492776516244e-66 0.310209441678803 1 1 1.84443393714377e-62 0 FAM102A
LINC00176 2.2733843943173e-66 0.440531305131235 1 1 3.11771935836674e-62 0 LINC00176
NOSIP 4.22469020237149e-65 0.724855967618023 1 1 5.79374014353226e-61 0 NOSIP
NELL2 6.61346250234221e-65 0.411429351770841 1 1 9.0697024757121e-61 0 NELL2
JUNB 1.35418387641554e-64 0.596085503307413 1 1 1.85712776811627e-60 0 JUNB
RPS13 1.39186709278166e-62 0.4641423123701 1 1 1.90880653104077e-58 0 RPS13
TRABD2A 1.77513921031055e-62 0.529879815180995 1 1 2.43442591301988e-58 0 TRABD2A
CAMK4 5.71196349447916e-62 0.326437793039 1 1 7.83338673632873e-58 0 CAMK4
OXNAD1 4.63838883831806e-61 0.368813285993211 1 1 6.36108645286939e-57 0 OXNAD1
RPS10 5.09503953421421e-61 0.431351618462276 1 1 6.98733721722137e-57 0 RPS10
RPL10A 1.89223449441215e-60 0.403039579645529 1 1 2.59501038563682e-56 0 RPL10A
CD6 6.08166436387017e-60 0.363878258302514 1 1 8.34039450861155e-56 0 CD6
LAT 6.24697461679896e-60 0.412197275813196 1 1 8.5671009894781e-56 0 LAT
TMEM204 1.45078676781816e-59 0.34758138560137 1 1 1.98960897338583e-55 0 TMEM204
TESPA1 5.06790417276648e-58 0.359480979521601 1 1 6.95012378253196e-54 0 TESPA1
RPS23 2.26374140934051e-57 0.38194879263823 1 1 3.10449496876957e-53 0 RPS23
RPS20 9.19515053793217e-57 0.465546049543118 1 1 1.26102294477202e-52 0 RPS20
CD3G 2.61774493402391e-55 0.499506442919523 1 1 3.58997540252039e-51 0 CD3G
ITM2A 5.50670322742713e-55 0.545829388222635 1 1 7.55189280609356e-51 0 ITM2A
CD7 1.08679642004897e-54 0.390891076356516 1 1 1.49043261045515e-50 0 CD7
RPS5 1.99735163566166e-54 0.379075308235667 1 1 2.7391680331464e-50 0 RPS5
