p_val avg_logFC pct.1 pct.2 p_val_adj cluster gene
RPS12 1.03854495949968e-146 0.508675564739098 1 0.991 3.39998848841005e-142 0 RPS12
RPS6 1.15449540550941e-144 0.473437335150571 1 0.995 3.7795870585567e-140 0 RPS6
RPL32 4.561323154938e-141 0.435171548209563 0.999 0.995 1.4932859744636e-136 0 RPL32
RPS27 1.26852171657573e-135 0.494906007927755 0.999 0.992 4.15288639572564e-131 0 RPS27
RPS14 1.53051583497651e-135 0.439852248448725 1 0.994 5.01060274054611e-131 0 RPS14
RPS25 2.66443733230112e-125 0.523162485005832 0.997 0.975 8.72283493848742e-121 0 RPS25
RPL31 8.93194602442575e-124 0.529723600910662 0.999 0.963 2.9241404894765e-119 0 RPL31
RPL9 2.78709483731781e-121 0.523978365269921 0.999 0.97 9.12439107841105e-117 0 RPL9
RPS3A 5.21187431458749e-117 0.560855713794304 0.999 0.974 1.70626341310965e-112 0 RPS3A
RPS3 8.9044658000473e-117 0.412025537887934 1 0.994 2.91514401361949e-112 0 RPS3
RPL3 3.09437345877752e-115 0.421823016563512 0.997 0.995 1.01303598293458e-110 0 RPL3
RPL13 5.11267559092517e-114 0.383652328191458 1 0.996 1.67378773495708e-109 0 RPL13
LDHB 3.32965375516222e-112 0.756635521089429 0.91 0.592 1.09006204636501e-107 0 LDHB
RPS15A 6.28227771499743e-109 0.44660938699833 0.997 0.983 2.05669207833586e-104 0 RPS15A
RPL30 1.05353256037963e-108 0.456167394599138 1 0.979 3.44905489617085e-104 0 RPL30
RPL21 4.28087658095196e-107 0.452116597247054 0.997 0.991 1.40147337507205e-102 0 RPL21
RPLP2 1.57980144121063e-104 0.414169092347579 1 0.99 5.17195395823535e-100 0 RPLP2
RPS27A 6.17894703019793e-104 0.519842969889841 0.997 0.966 2.0228636787462e-99 0 RPS27A
RPS13 1.92483567105886e-98 0.484145398211807 0.986 0.961 6.3015270199125e-94 0 RPS13
EEF1A1 9.54216714229381e-98 0.365566878296383 0.994 0.991 3.12391467904415e-93 0 EEF1A1
RPL13A 4.26849428580302e-95 0.335223985243061 1 0.999 1.39741965928619e-90 0 RPL13A
RPS18 1.78792914489467e-94 0.360115144903573 1 0.996 5.85332243455616e-90 0 RPS18
MALAT1 2.25608463781144e-94 0.455552084956356 1 0.999 7.38596988726709e-90 0 MALAT1
RPL11 8.15513049689328e-93 0.324619915597703 1 0.995 2.66982662207292e-88 0 RPL11
RPS28 2.25688303559361e-90 0.438662246097216 0.993 0.968 7.38858368192635e-86 0 RPS28
RPL35A 5.93631902366028e-90 0.399504649929385 1 0.98 1.9434321219659e-85 0 RPL35A
RPL27A 1.17854863279903e-88 0.367697687809021 0.999 0.988 3.85833251405745e-84 0 RPL27A
RPS23 5.61271564062366e-87 0.397493726164105 1 0.976 1.83749084642737e-82 0 RPS23
RPS20 1.48044562473092e-86 0.477055620044315 0.991 0.941 4.84668288624408e-82 0 RPS20
RPS29 3.37810261627769e-86 0.506712798987255 0.993 0.903 1.10592323451699e-81 0 RPS29
TPT1 1.29004928172538e-85 0.413242535305889 0.996 0.983 4.22336333851255e-81 0 TPT1
RPL23A 3.10357764018423e-84 0.379763484396055 1 0.988 1.01604924784351e-79 0 RPL23A
CCR7 5.65375933542802e-82 0.912438309003506 0.438 0.111 1.85092773123242e-77 0 CCR7
RPS4X 7.84277679819876e-81 0.358127617498775 0.997 0.992 2.56756826819431e-76 0 RPS4X
CD3D 1.86797608116751e-79 0.650401303031377 0.854 0.402 6.11538009452619e-75 0 CD3D
RPL5 1.00938742829077e-76 0.413559341234771 0.988 0.969 3.30453256273833e-72 0 RPL5
RPS16 9.65347189994772e-76 0.375559927914005 0.996 0.982 3.16035363060488e-71 0 RPS16
RPL10 7.92728563819148e-75 0.25487645878211 1 0.997 2.59523477223113e-70 0 RPL10
RPL10A 1.24452964942113e-73 0.376878580129874 0.991 0.985 4.07434116627489e-69 0 RPL10A
