mean	variance	variance.expected	variance.standardized
SPATA22	0.0410684867027536	0.471774402511562	0.0499897689176637	6.73556763324898
TAOK1	0.318074841139092	49.7087494061905	0.628917164930846	6.49508402474599
IFIT2	0.0271828665568369	0.367743998802562	0.0316883143337003	5.41217195431023
VGF	1.44739938809132	33.3528289427418	6.65613194436299	5.0108425165742
IFIT3	0.0526006119086844	0.344296519533579	0.0660147930476294	4.52865643209061
IFIH1	0.0538950341256766	0.342157946848351	0.0678680413927474	4.38096454755712
IFIT1	0.0167098140738997	0.0985791698718967	0.0187647540855072	4.21830919933206
HSPA5	1.72099317486467	29.2516740988118	8.96714576040673	3.26209419143924
RGS1	0.0828430218875029	0.313013829891867	0.111624095784905	2.80417796615377
MKI67	1.17639444575194	12.8575479258347	4.69407575250602	2.73910107202052
ASPM	0.417039303365498	2.5027671776948	0.927638267254658	2.69799906498222
MT-RNR1	3.72640621322664	97.7498993110218	36.3708302260466	2.68759054174736
CENPF	1.51223817368793	18.5163266129147	7.17373219350204	2.58112877836265
RP11-463O12.5	0.0230642504118616	0.0933834773354449	0.0265006485379624	2.56974927677528
HIST1H4C	3.42904212755943	78.4921398614709	31.1101808429801	2.52303708093623
PRR9	0.00670746057895976	0.026905693156055	0.00727958561324802	2.37069562685738
HERC5	0.0887267592374676	0.272696248503584	0.121075481527404	2.25228299787404
MTATP6P1	1.90268298423158	24.0577284721619	10.6865088191909	2.25122431274832
MT-ND1	4.87891268533773	137.079957767825	60.8915818257691	2.25121361044711
JUN	0.00941397975994352	0.0232137085582211	0.0103176744852331	2.24989735734007
MT-ND3	5.14791715697811	151.555733568751	67.5848260498127	2.24245207729097
APOD	0.303247823017181	1.31499710016297	0.588242913502913	2.23546611438517
FOS	0.0930807248764415	0.283084988422118	0.128221521194285	2.20778061112829
NEAT1	0.966345022358202	7.43254968534712	3.39623989258348	2.18846427826783
H1F0	0.60837844198635	3.50602370894793	1.63393168654905	2.14575905333768
NRCAM	0.0207107554718757	0.0504124875882017	0.0235974491187559	2.13635326998682
RGS2	0.0333019534008002	0.180719730162125	0.0396078633286566	2.13460739628066
MT-ND4L	4.71946340315368	121.60564914124	57.1000246644608	2.12969521214459
CEACAM1	0.138503177218169	0.45192206195295	0.208765306099632	2.12921048744851
MT-CO2	10.7225229465757	631.190032847832	297.101135590811	2.1244955243697
SAT1	1.30148270181219	11.6384137128348	5.55938739181401	2.09347053777399
MT-CO3	13.4745822546482	1001.65058370802	481.012532688075	2.08237938855859
MGP	0.038832666509767	0.626713571854981	0.0469607885041363	2.07855988716337
RCAN1	0.155683690280066	0.499356299606858	0.241998853488499	2.06346555947874
MT-CYB	9.83454930571899	512.198349573242	248.223309202818	2.06345790497353
RP11-750B16.1	1.14721110849612	9.21252664508313	4.50212640835518	2.04626121292069
PIF1	0.0336549776417981	0.0819553579374421	0.0400712912770809	2.04523875636414
CTGF	0.0293010120028242	0.0703429502190534	0.0344041926822218	2.04460400709832
EGR1	0.0342433513767945	0.0832099781981114	0.0408453373835859	2.0371964960571
CENPE	0.243586726288538	0.884285686310783	0.435359966652709	2.03115985401613
SFMBT2	0.00847258178394916	0.0262904524080918	0.00925630911639658	2.01208498856912
MT-TP	0.219228053659685	0.748332133227258	0.377890678349816	1.98028735848975
TOP2A	0.507060484819958	2.40250398621994	1.23912711869624	1.93886805475435
NCEH1	0.0221228524358673	0.211820748939868	0.0253339435269063	1.93634611766106
RP11-317P15.4	0.000470698987997176	0.000941287184188303	0.000486160130254265	1.9361669655963
NEXN	0.00294186867498235	0.00599346278488001	0.00312706758350906	1.91663999092543
LINC00520	0.0441280301247352	0.103619158373923	0.054162967086205	1.9130997422834
CRK	0.00823723228995058	0.0199392013345538	0.00899248748292853	1.91084463636362
IGFBP7	0.00517768886796893	0.0145665742838425	0.00557991379939836	1.90420005285272
DDIT3	0.281831019063309	1.01094677054765	0.531377569182346	1.90250177873191
CCDC168	0.00235349493998588	0.00517275863259977	0.00249346818255757	1.89578210390419
MT-ATP6	13.7011061426218	944.243239920238	498.417794217271	1.89448139868903
TNFSF4	0.0018827959519887	0.00376248973340805	0.00199084996813214	1.88989114882328
MT-ND6	1.9662273476112	21.0374611331958	11.3228421604811	1.85796647476201
NR4A2	0.00788420804895269	0.0191210730917642	0.00859727324781446	1.85745171669656
HOXD1	0.00835490703694987	0.0417096388843564	0.00912435022740528	1.84731553070124
FN1	0.0433043068957402	0.0979244456940529	0.0530355643828258	1.84639207357551
NUPR1	0.347728877382914	1.31687197450082	0.713482918732876	1.84569516652136
HIST1H1D	0.430454224523417	1.78738359970499	0.971685424629789	1.83946733623794
MT-ATP8	8.71769828194869	354.256768056772	193.647001999371	1.82939453954429
HERPUD1	0.221934572840668	0.702063245336295	0.384134553923799	1.82764929154372
MT-ND2	10.6067309955284	523.152606212434	290.446336037201	1.80120229213505
EXPH5	0.00647211108496117	0.0125507866176683	0.00701691204471532	1.78864813149834
UBE2C	0.304777594728171	1.05432811929552	0.592389972306264	1.77978724925215
CSRNP3	0.0018827959519887	0.00352711254145795	0.00199084996813214	1.77166165101188
TMEM74	0.00317721816898094	0.00599202249140138	0.00338265150296724	1.77139811362336
RP4-714D9.5	0.00423629089197458	0.00798487625372354	0.00454064176037242	1.75853473476151
RP5-827C21.4	0.0096493292539421	0.0185016776510741	0.010585228966842	1.74787694333588
LINC00492	0.00847258178394916	0.0161692331542375	0.00925630911639658	1.74683374884222
FAM133A	0.00164744645799012	0.00423407505585361	0.00174005822778171	1.74364469431004
LINC00881	0.00058837373499647	0.00105885113938155	0.000610931121551926	1.73317597029889
CTD-2357A8.2	0.00058837373499647	0.00105885113938155	0.000610931121551926	1.73317597029889
RP11-538D16.2	0.00541303836196752	0.0100919148211545	0.00584040093420009	1.7279489772797
DCT	1.20804895269475	8.46465451943459	4.90652474856873	1.72518329228927
KIF14	0.171216756883973	0.471446347973852	0.273273688199185	1.725180170402
UPK1A	0.002000470698988	0.00364434412123305	0.00211665983594715	1.72174293636667
DDIT4	0.277830077665333	0.895262232156308	0.521001041197345	1.71835017853102
MLPH	0.206989879971758	0.601495210207094	0.350099605964923	1.71806880087537
MT-ND5	12.6895740174159	724.823007680116	423.413131404687	1.71185764899518
RNU6ATAC24P	0.00117674746999294	0.00211700982997529	0.00123897246358207	1.70868190553217
BIRC3	0.00423629089197458	0.00774949906177344	0.00454064176037242	1.7066968659377
MT-ND4	18.0143563191339	1519.77406714476	900.053508912314	1.68853746149089
NEB	0.00211814544598729	0.00376154800305664	0.00224225542251091	1.67757337781099
SYNE2	0.236761590962579	0.701381155582357	0.418968312869091	1.67406730780976
CCNB1	0.188514944692869	0.517358957114514	0.309563668869334	1.67125218215736
BRCA2	0.221346199105672	0.638419183180209	0.382774177878931	1.66787421951471
RP11-67H2.1	0.000941397975994352	0.00164675400920231	0.000987468932177164	1.66765146278735
PRC1	0.419392798305484	1.55364058689411	0.935305378264138	1.66110515666825
MTND2P28	0.60673099552836	2.70068200389029	1.62714118054004	1.65977115949702
SETP12	0.00152977171099082	0.00293987442247348	0.00161515112933375	1.65534783477988
RN7SK	0.0018827959519887	0.00329173534950785	0.00199084996813214	1.65343215320049
ZNF710	0.00341256766297952	0.0059904714061167	0.00363891557728289	1.64622434318459
RP3-405J10.3	0.00282419392798305	0.00493494402091661	0.00299960946431671	1.64519550948968
FOSL1	0.0595434219816427	0.124734733256124	0.0760308118833996	1.64058136650463
FOSB	0.00988467874794069	0.0177909482152728	0.0108531837384743	1.63923772452173
PCDHB12	0.00223582019298658	0.00387872418692871	0.00236780717270226	1.63810813297863
SORBS1	0.00129442221699223	0.00223440759745947	0.00136477064491214	1.63720373513991
RP11-976B16.1	0.00105907272299365	0.00364722470819031	0.00111315806449242	1.63453330222695
ATAD2	0.368204283360791	1.26408012208592	0.774383700572899	1.6323692261998
POLQ	0.125558955048247	0.299991596441511	0.184647559752084	1.62467132977167
ITGA10	0.172275829606966	0.445073341821278	0.275450415860232	1.61580203257749
FBXO43	0.0571899270416569	0.117242049600771	0.0726123335273878	1.61462996581084
KB-1980E6.3	0.0038832666509767	0.0066931684359795	0.0041530100911438	1.61164270952592
PMAIP1	0.139091550953165	0.337483086592134	0.209880882316033	1.60797440370943
MATN1	0.00129442221699223	0.00270516198135967	0.00136477064491214	1.6034117945258
MAMDC2	0.00235349493998588	0.00399587267284927	0.00249346818255757	1.60253605833088
RP11-767N6.7	0.00235349493998588	0.00399587267284927	0.00249346818255757	1.60253605833088
ISG15	0.206048481995764	0.557633177359706	0.347991832822894	1.60243179512637
AMPD1	0.000706048481995764	0.00117638739662328	0.000736316111176329	1.59766624519991
PMFBP1	0.000706048481995764	0.00117638739662328	0.000736316111176329	1.59766624519991
AC005220.3	0.000706048481995764	0.00117638739662328	0.000736316111176329	1.59766624519991
SLC16A2	0.000706048481995764	0.00117638739662328	0.000736316111176329	1.59766624519991
C10orf107	0.000941397975994352	0.00164675400920231	0.000987468932177164	1.5958034139995
LINC00906	0.000941397975994352	0.00164675400920231	0.000987468932177164	1.5958034139995
SPTA1	0.000941397975994352	0.00164675400920231	0.000987468932177164	1.5958034139995
PPY	0.0104730524829372	0.0183674118311191	0.0115223664261781	1.59406593678442
CCNE2	0.0741350906095552	0.155501340816286	0.0979966698358646	1.58680229722843
AC073130.1	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
KCNH1-IT1	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
AC018742.1	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
AC053503.4	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
CPB2	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
CTC-204F22.1	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
RNU6-501P	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
RP11-293K20.3	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
RP11-502I4.3	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
RPL7L1P12	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
TMEFF2	0.00105907272299365	0.00176420717258951	0.00111315806449242	1.58486672186483
PDIA4	1.03636149682278	6.03057129545507	3.80724109191829	1.58397410351981
PCNA	0.446575664862321	1.62460225395404	1.02572272170351	1.58386103727518
MT-CO1	16.8583196046128	1233.37194501635	778.944145443835	1.58338945382739
HSP90B1	3.59108025417745	53.6980115197442	33.923613935647	1.58290952201051
HIPK1-AS1	0.00141209696399153	0.00235177766699213	0.00149017419131362	1.57818977184069
PDE3A	0.00176512120498941	0.00293909887983114	0.0018652025825657	1.575753168746
ZNF331	0.0301247352318193	0.0558182967848246	0.0354682844224354	1.57375237324749
RP11-876N24.4	0.00211814544598729	0.00352617081110654	0.00224225542251091	1.57259997041634
PRDM7	0.0423629089197458	0.0812933215003991	0.0517508153752762	1.57086068907113
ARL6IP1	0.331136738056013	1.04486068248916	0.665636854314815	1.56971579280222
ADM	0.0500117674746999	0.0976515239288281	0.0623349315640977	1.56656182141493
CALR	1.83466698046599	15.6703197725732	10.0255241371796	1.56304244627569
SPP1	0.00917863026594493	0.0156860146921568	0.010051136918277	1.56062093469578
PRUNE2	0.00706048481995764	0.0119543804767333	0.00767460017886725	1.55765514790605
MT-TV	0.129559896446223	0.29873538354863	0.192002534370262	1.55589291843691
CASC5	0.0879030360084726	0.185869887266291	0.119738691349587	1.55229596357979
ZBTB49	0.00682513532595905	0.0114868944511115	0.00741111896952408	1.54995412951104
ARMCX4	0.00458931513297246	0.00762869444625327	0.00492967374967124	1.54750493311287
ENTHD1	0.000823723228995058	0.0015292731478636	0.000861842655252475	1.54622221272173
RP5-1039K5.17	0.000823723228995058	0.0015292731478636	0.000861842655252475	1.54622221272173
S100A4	0.0127088726759237	0.0217285443981405	0.0140817249003071	1.54303145047712
