mean	variance	variance.expected	variance.standardized
Hbb-bs	8.53789104638619	23621.8596564553	157.975017939597	25.2902540567186
Hba-a1	8.53546386192017	24357.9644872561	157.877976282546	24.8443514256135
Acta2	0.470199568500539	21.608821861718	0.92981503733853	22.3705889247386
Lyz2	0.391046386192017	17.322180105198	0.721784690852388	22.1595462303153
Ptgds	7.07510787486516	3404.88835669773	105.733793924656	19.0041541440854
Hbb-bt	1.0918284789644	526.871269697347	3.2824002428242	18.1234265866088
Sst	0.656283710895361	217.05230845301	1.50326125795634	15.3771339961314
Vip	0.29759978425027	40.9327305834335	0.505637195632846	14.5988831971659
Dcn	0.191208198489752	5.85257812198807	0.289385491565789	14.5062604466342
Pf4	0.146709816612729	2.9856210006103	0.209439195484972	14.1049041217665
Gfap	0.293689320388349	6.69512402699854	0.497179103478076	13.4662216898538
Crip1	0.832793959007551	27.3042029007646	2.15026465564916	12.6026201140406
Mgp	0.566612729234088	14.8780975471016	1.21251727752907	12.1486477564267
Npy	0.57861380798274	266.216880397835	1.24995218772051	11.8243651914251
Tagln	0.194039913700108	3.63098807338982	0.294712602399646	11.5725200232366
Ccl4	0.0821197411003236	1.95212259982062	0.108209188492704	11.3756722978108
Klk6	0.190533980582524	3.6803473345161	0.288122322365008	11.2302817619338
1500015O10Rik	0.0591963322545847	1.20391271883213	0.0772885293060425	10.9092128954092
Eln	0.109897518878101	2.17632279462095	0.148871172263625	10.8916542021675
Spp1	0.0678263214670982	1.00403012276494	0.0887384222486436	9.70974275338664
Gkn3	0.163430420711974	2.33282836548848	0.238648989754751	9.5879974648948
Yjefn3	0.150755124056095	2.42447144589417	0.216435809680383	9.5108932608276
Cytl1	0.0426105717367853	0.589957526545	0.0552161652261499	9.10622774610634
Cd209f	0.0682308522114347	1.27194540644383	0.0892841060334923	8.89819530621731
Vtn	1.47680690399137	47.4613635586631	5.38823510446618	8.8083319748471
Tac2	0.0637810140237325	2.16464350375816	0.0833604007526148	8.35281305596229
Fbln5	0.075782092772384	0.910237419266611	0.0994898945466829	8.30103154679332
Alas2	0.0333063646170442	0.419794110308778	0.0421597391079759	8.17677148877763
Ccl12	0.0730852211434736	2.50686281997845	0.0958553244489704	7.87408206901214
Myl9	0.527238403451996	8.57754522488236	1.09303847960557	7.84743207574691
Gad1	0.102346278317152	1.07259867495041	0.137356386157144	7.80887372592412
Crhbp	0.0436893203883495	1.19161762106462	0.0566867185647942	7.58805141687864
Opalin	1.52615965480043	41.5887963623694	5.69574454008907	7.3017313311104
Mag	2.26186623516721	80.5431498005806	11.3303285362186	7.10863321774971
Ccl3	0.0589266450916936	0.804753749979087	0.0769268785673376	7.02680928987369
Ms4a7	0.0660733549083064	0.606287802575176	0.0863938047528865	7.01772313777997
Crh	0.0440938511326861	0.587536252283157	0.0572365928034174	6.98553239307845
Hexb	1.84277238403452	54.0011696021287	7.87639584785944	6.85607613497543
Sirt2	1.5316882416397	38.2099195230229	5.73073124147385	6.66754693476009
Col1a1	0.0666127292340885	0.774253986750959	0.0871121751484645	6.62167648400602
Slc6a13	0.0605447680690399	0.514877329620634	0.0790859507868909	6.51035138981953
Birc2	0.17408306364617	1.88108681926268	0.257829730200821	6.48590672855127
C1qa	1.25418015102481	26.5539946615399	4.10768582381898	6.4644658331859
Apod	1.67340884573894	42.9020898481969	6.66488665054904	6.43703218038414
Cort	0.0324973031283711	0.447089433573306	0.0410358342572698	6.39155953322449
Cd74	0.172869471413161	39.5045692970531	0.255624946934115	6.37944589389939
Pcp4	4.13376483279396	224.511032405377	35.3250094970283	6.35558307278767
Tmem163	0.288430420711974	3.05543456912975	0.485834448284616	6.28904471454808
Fgfbp1	0.046655879180151	0.374896435037582	0.0607100206835755	6.17519860504686
Mia	0.0342502696871629	0.264234717666819	0.0434535483231435	6.07764786645073
Mobp	2.85463861920173	105.399770793189	17.3674210082506	6.06882108420808
Nnat	0.0938511326860841	0.818163130364192	0.124760445801375	6.00478560827633
Ctss	1.00107874865156	16.879567278491	2.8604191451511	5.90108177226571
P2ry12	0.902508090614887	14.3248163654099	2.43331065340527	5.88696570467204
Tpm2	0.118392664509169	0.954558495018334	0.162253092075538	5.88314517034866
Mal	2.27170981661273	66.9606884314937	11.4194126982918	5.86375938943955
Rgs5	0.72680690399137	10.0658814278471	1.7498465970959	5.75243649617788
C1qb	0.852211434735707	12.6505763631113	2.22752712247538	5.67920194347762
C1qc	0.710490830636462	9.34827023781207	1.6913908270663	5.52697229298952
Dapl1	0.0180690399137001	0.311473870350852	0.0222180995265543	5.51528879737868
Nupr1	0.178398058252427	1.43721906526393	0.265702841893557	5.40912191612799
Cxcl2	0.0161812297734628	0.262718577535696	0.0198923275035887	5.39431520862133
Lum	0.0275080906148867	0.182115758531971	0.0341759837447205	5.32876419570816
Nov	0.242988133764833	2.06367301186187	0.390677973046382	5.28228657420844
Calb2	0.0469255663430421	1.17864732338673	0.0610755727190529	5.27005138127814
Ube2c	0.0148327939590076	0.105241860103103	0.0182769707807367	5.10134736072981
Trf	3.6128640776699	138.129404284152	27.1666106477361	5.0845284336441
Cldn11	4.42044228694714	197.487398644545	40.3322948358718	4.89650785922794
Ccl24	0.0415318230852211	0.262064490693156	0.0537372404337196	4.87677611611618
Mog	2.27669902912621	55.7529620488514	11.4647063804395	4.86300827938991
Tmem141	0.382955771305286	3.39101896284464	0.701672095632082	4.83276873051355
Lypd2	0.0137540453074434	0.083425096072642	0.0169788205542683	4.7724512476154
Tmem212	0.0093042071197411	0.130594471976903	0.0114309425844386	4.7722436083297
Igfbpl1	0.00916936353829558	0.0533211710424	0.0112589388968207	4.7358966534099
Fos	0.164778856526429	1.13993799559335	0.241053388522402	4.72898556863644
Cd14	0.072411003236246	0.499543532199883	0.0949473557236604	4.72137740525653
Higd1b	0.411677454153182	3.64020886479708	0.774017951839799	4.70300314888627
Fcer1g	0.408306364617044	3.58188109614829	0.765389332630894	4.67981580542309
Gsn	1.97545846817691	41.0302809765621	8.89896260678418	4.61068135574392
Cnp	6.04288025889968	348.883933119038	76.0356711862727	4.58842445494221
Ccdc153	0.00593311758360302	0.0423113881087419	0.00708792829903101	4.53012577426028
Penk	0.0907497303128371	0.533772816115908	0.120307794282716	4.43672680808674
Grb14	0.482200647249191	4.24917740869007	0.963203139250921	4.41150701812978
Cldn5	1.96561488673139	38.8512787317757	8.82086516552369	4.40447484489681
Pdyn	0.0225188781014024	0.204347855341479	0.0277202495782219	4.39501412718573
Myl4	0.353829557713053	2.76082956716938	0.631474181462323	4.37203871229707
Col1a2	0.0689050701186624	0.529708632389665	0.090198218616797	4.36786469343885
Mbp	8.74581984897519	721.961142335174	166.420129864463	4.3381839860548
Cxcl14	0.794093851132686	8.63150118822382	1.99988894276549	4.31599025508286
Pbk	0.0142934196332255	0.0777457717490058	0.0176309470370361	4.3108990202727
Synpr	0.226267529665588	1.53611909443306	0.35720015320948	4.30044354861237
Itm2a	2.21548004314995	46.7524831950164	10.9155099374739	4.28312405584562
Cd209g	0.0160463861920173	0.132311595420519	0.0197296166418143	4.27120422148217
Rprm	0.312837108953614	2.29133080340224	0.53884605543636	4.25229206057138
Ccl2	0.0257551240560949	0.341211162684462	0.0318883600468301	4.24877534384823
Bmp4	0.0984358144552319	0.554840439035426	0.131507732157475	4.21907084802456
H2-Eb1	0.0285868392664509	0.669175939322389	0.0356066523052762	4.18863966633629
Ppp1r14a	1.36717907227616	19.7571370716375	4.73595531796115	4.1717321522668
Nfasc	0.511326860841424	4.34943338417927	1.04633942115317	4.15680924970385
Tspan2	0.736785329018339	7.40474780340442	1.78601432072601	4.14596216697435
Rras2	0.156688241639698	0.937279603939942	0.226748927774223	4.13355693956447
Gad2	0.0471952535059331	0.253200493765735	0.0614412597399401	4.12101729094498
Car2	5.11920172599784	222.369066173192	54.137314300607	4.10750088078711
H2-Aa	0.0461165048543689	3.12747513895345	0.0599791695079975	4.08855849743205
Tyrobp	0.413834951456311	3.1834039830048	0.779559650815205	4.08359255084051
Mrc1	0.0334412081984898	0.172853213805364	0.0423458559636383	4.08193930366622
Rgs1	0.0547464940668824	0.29019189796478	0.0714154189516804	4.0634347907575
Qdpr	1.92718446601942	34.2099365625962	8.5194045042859	4.01553143126213
Rbp1	0.0621628910463862	0.325602549862119	0.0812265140431964	4.00857470861009
Cnr1	0.11987594390507	0.717792351432015	0.164647498094934	3.99084420285915
