mean	variance	variance.expected	variance.standardized
PPBP	0.248673237300986	9.79555189849471	0.586069981039355	11.2787749680969
LYZ	10.4082638362396	575.359613139314	67.8899060516356	8.47489187423101
S100A9	6.14632297194845	284.275130577485	33.7399655912111	8.42547185796583
IGLL5	0.276724791508719	9.00947702017392	0.668511573644072	8.12456919938132
FTL	27.9996209249431	2042.63519136175	260.69569249487	7.83532390510037
GNLY	1.59931766489765	46.2023051846025	5.92409677405807	7.79904632667799
PF4	0.111827141774071	2.78271179111742	0.215329564555925	7.17255356600798
FTH1	21.535633055345	1224.96630659568	181.674865819859	6.74262948299243
GNG11	0.0625473843821077	0.742009738937032	0.102567322512212	5.60863135404884
S100A8	3.17475360121304	79.3380502805615	14.2530799617677	5.56637937157281
FCER1A	0.112585291887794	1.97025489886588	0.217226787379355	5.5493228163113
HLA-DRA	6.15125094768764	186.795089447051	33.7755950610881	5.53047515844516
CD74	8.57960576194086	261.893357144479	52.4632588502572	4.99193841335679
CLU	0.0496588324488249	0.386232344690635	0.0759593984210683	4.69947412511979
NKG7	2.63760424564064	52.3525027147639	11.2239315026079	4.66436406018691
CST3	4.47156937073541	102.576931248694	22.2358320682975	4.61313662262011
GZMB	0.734268385140258	12.6396367607066	2.22653041944133	4.6063170856743
CCL4	0.34647460197119	4.65351619787574	0.880680403359323	4.484404679563
C1QA	0.0432145564821835	0.339428722245366	0.0629284225210012	4.45108356206501
HLA-DPB1	2.92645943896892	55.4318290220554	12.8308660217917	4.32019389243961
SDPR	0.0693707354056103	1.29401029784633	0.11625450806356	4.10434131505682
C1QB	0.0288097043214556	0.269931915992252	0.0375994469340778	4.01385314403707
AL928768.3	0.0246398786959818	0.171937204355237	0.0311221105871258	3.93287674653505
TUBB1	0.0549658832448825	0.733041314724874	0.0868473295610988	3.88162267815892
GUSB	0.138362395754359	1.53981711245721	0.282321593757873	3.73523044717964
C10orf32	0.15049279757392	1.42254621136259	0.313793200973438	3.57690962799982
GP9	0.023502653525398	0.187539945195838	0.0294585217106193	3.52978376171543
LYAR	0.311978771796816	2.83664826348548	0.774488606610577	3.48255718673512
LYPD2	0.0231235784685368	0.209931536485938	0.0289087659616171	3.48098980987965
HAGH	0.172100075815011	1.83005937261281	0.371058059458606	3.47436397995252
FUS	0.427217589082638	4.60808713579972	1.1387024093828	3.46104419641712
HLA-DPA1	2.61637604245641	38.0742406351786	11.107932266185	3.42766229778741
DSCR3	0.100075815011372	1.23533560289609	0.186101270063752	3.40884735622148
SLA	0.148218347232752	2.1126456678923	0.307854796067457	3.379775971134
SMIM7	0.231235784685368	2.2544354081691	0.53569056282241	3.37059551345497
KIF5B	0.260045489006823	3.00098930395954	0.61928758463144	3.368621615479
PPP6C	0.169446550416983	2.41837595447994	0.363934932076793	3.33798146223152
HBP1	0.127369219105383	2.50557601152089	0.254263289083688	3.33483035904929
HBA1	0.0307050796057619	0.350592676735659	0.0406716984124529	3.33150527172144
TMX2	0.158453373768006	2.64079123616419	0.334703213430269	3.32868338461147
APOBEC3B	0.0947687642153146	0.576529317006512	0.173213791556107	3.3284261710752
CCL3	0.458301743745262	4.12017944323549	1.24153945090787	3.31860533325995
INTS12	0.0807429871114481	1.81941666429475	0.140875699457437	3.28443702560677
HLA-DRB1	2.55155420773313	35.2569164306971	10.755543406009	3.27802279250713
GIMAP5	0.478013646702047	4.27843185115992	1.30773434208153	3.27163684051449
CA2	0.0363912054586808	0.200419584480837	0.0503342213588999	3.2473608511939
LILRA4	0.0136467020470053	0.0976521496876404	0.0156254979335086	3.21506772471634
CD79A	0.604245640636846	5.60820343148459	1.74753488215606	3.20920829034631
PRKCB	0.20773313115997	1.49266675924321	0.46900626187544	3.18261584242906
CCL5	2.01971190295679	25.2206958593274	7.97315897543177	3.16319992327277
LST1	2.20583775587566	28.2257224492073	8.92407703845132	3.16287301505698
SERPINF1	0.0163002274450341	0.0600299924990002	0.0191698208847592	3.13148426685231
MYL9	0.0193328278999242	0.0743322054520682	0.0234588658906102	3.11021150953793
SIVA1	0.321076573161486	2.48807286406228	0.802257648317966	3.10133891434857
NDUFA12	0.316906747536012	2.44181492569583	0.7895089465926	3.09080027252799
C16orf13	0.255117513267627	2.66336970556348	0.604858730425407	3.07318663180929
MLLT11	0.0617892342683851	1.0159000207866	0.101036854457077	3.03986574485047
IGJ	0.158453373768006	17.0131841068506	0.334703213430269	3.03508588197504
PRDX1	0.496209249431387	4.11128634527657	1.36945968690829	3.00212294277771
THOC7	0.227065959059894	2.17557356485519	0.523750562717464	2.99269459130804
RABL6	0.0716451857467779	0.875031877092855	0.120974788031684	2.99077448407373
SDHB	0.315011372251706	3.33607339767115	0.783725949708788	2.97520937745441
UBLCP1	0.0625473843821077	0.565293773825162	0.102567322512212	2.97277570078037
STK38	0.131539044730857	1.88750699714767	0.264850233115436	2.96144295490011
CLDN5	0.010235026535254	0.0601909951776823	0.0113939681161139	2.96139755209236
IFI27	0.0796057619408643	0.409284334468115	0.138349246619356	2.95834162071146
TREML1	0.0151630022744503	0.0528606294687228	0.0176269091646067	2.94963292490228
RALY	0.323730098559515	2.38359290702699	0.810389123128447	2.94129429800996
