mean	variance	variance.expected	variance.standardized
PPBP	0.248673237300986	9.79555189849471	0.560413993943233	11.4742560691269
S100A9	6.14632297194845	284.275130577485	32.5948078445452	8.721485088462
LYZ	10.4082638362396	575.359613139314	67.3889529309365	8.5378921635564
IGLL5	0.276724791508719	9.00947702017392	0.643003073511994	8.32773843496328
GNLY	1.59931766489765	46.2023051846025	5.81859429998986	7.94045826234749
PF4	0.111827141774071	2.78271179111742	0.213442947547825	7.21825616474397
FTL	27.9996209249431	2042.63519136175	288.404773912413	7.08252905682512
FTH1	21.535633055345	1224.96630659568	193.898055489151	6.31757911911714
S100A8	3.17475360121304	79.3380502805615	13.7310701899187	5.77799466343208
HLA-DRA	6.15125094768764	186.795089447051	32.6300333166774	5.72463679807458
FCER1A	0.112585291887794	1.97025489886588	0.215178353388198	5.59262332552768
CD74	8.57960576194086	261.893357144479	51.4307652279409	5.09215361629891
NKG7	2.63760424564064	52.3525027147639	10.8737465721773	4.81457815549226
GNG11	0.0625473843821077	0.742009738937032	0.133773462993276	4.8133199910222
CST3	4.47156937073541	102.576931248694	21.3581211631169	4.80271323798989
GZMB	0.734268385140258	12.6396367607066	2.20065973359028	4.64870607409853
CCL4	0.34647460197119	4.65351619787574	0.859518339411291	4.57018105142469
HLA-DPB1	2.92645943896892	55.4318290220554	12.3871437685318	4.4749483866389
CLU	0.0496588324488249	0.386232344690635	0.102344321834755	3.77385220563819
GUSB	0.138362395754359	1.53981711245721	0.296504494145378	3.70015291744089
SDPR	0.0693707354056103	1.29401029784633	0.144120011385996	3.69789913167158
HLA-DPA1	2.61637604245641	38.0742406351786	10.7646855648511	3.53695799155516
LYAR	0.311978771796816	2.83664826348548	0.749373313583924	3.53221709100376
FUS	0.427217589082638	4.60808713579972	1.13314800373169	3.46820115294155
C10orf32	0.15049279757392	1.42254621136259	0.338757204592384	3.46077948728586
TUBB1	0.0549658832448825	0.733041314724874	0.114310854524188	3.42997924247906
DSCR3	0.100075815011372	1.23533560289609	0.190256068555466	3.39997377149782
SMIM7	0.231235784685368	2.2544354081691	0.514089631242224	3.38609918876259
KIF5B	0.260045489006823	3.00098930395954	0.593402299148321	3.38461812531824
HLA-DRB1	2.55155420773313	35.2569164306971	10.4330171684306	3.37935957178155
HAGH	0.172100075815011	1.83005937261281	0.396963338751085	3.37822652626617
