mean	variance	variance.expected	variance.standardized
PPBP	0.248673237300986	9.79555189849471	0.562445463345482	11.4581284457667
S100A9	6.14632297194845	284.275130577485	32.6871564213964	8.69684492932532
LYZ	10.4082638362396	575.359613139314	67.5164305794297	8.52177178505359
IGLL5	0.276724791508719	9.00947702017392	0.642575345133541	8.33128266171646
GNLY	1.59931766489765	46.2023051846025	5.82567413620479	7.93080836730453
PF4	0.111827141774071	2.78271179111742	0.206163791637545	7.40242958728872
FTL	27.9996209249431	2042.63519136175	287.408939336164	7.10706909840618
FTH1	21.535633055345	1224.96630659568	193.581846444208	6.32789865938552
S100A8	3.17475360121304	79.3380502805615	13.7557056441311	5.76764670116442
FCER1A	0.112585291887794	1.97025489886588	0.20785774933385	5.75434352282857
HLA-DRA	6.15125094768764	186.795089447051	32.7224720496884	5.70846509283913
GNG11	0.0625473843821077	0.742009738937032	0.121187954041297	5.10537678117882
CD74	8.57960576194086	261.893357144479	51.5545322929847	5.07992887329746
NKG7	2.63760424564064	52.3525027147639	10.8847986373264	4.8096895917978
CST3	4.47156937073541	102.576931248694	21.414924933947	4.78997388807507
GZMB	0.734268385140258	12.6396367607066	2.19929564119185	4.65096880921806
CCL4	0.34647460197119	4.65351619787574	0.8578447805879	4.57714506870505
HLA-DPB1	2.92645943896892	55.4318290220554	12.4054752603369	4.46833578390047
SDPR	0.0693707354056103	1.29401029784633	0.131260292540074	3.86403438104735
CLU	0.0496588324488249	0.386232344690635	0.10177713697717	3.79488317476717
GUSB	0.138362395754359	1.53981711245721	0.29482278409952	3.70413606099442
LYAR	0.311978771796816	2.83664826348548	0.748182961866977	3.53465347762747
HLA-DPA1	2.61637604245641	38.0742406351786	10.7752187358986	3.53350048554752
TUBB1	0.0549658832448825	0.733041314724874	0.10723460888493	3.52423360774549
FUS	0.427217589082638	4.60808713579972	1.13104449154864	3.47092991399129
C10orf32	0.15049279757392	1.42254621136259	0.338251556463299	3.46296167806489
DSCR3	0.100075815011372	1.23533560289609	0.181562698131718	3.41900329611209
SMIM7	0.231235784685368	2.2544354081691	0.515025291898629	3.38540075970731
KIF5B	0.260045489006823	3.00098930395954	0.595389825696142	3.38334071941418
APOBEC3B	0.0947687642153146	0.576529317006512	0.170415554474573	3.38307919593415
HAGH	0.172100075815011	1.83005937261281	0.397372843676712	3.37680741159947
HLA-DRB1	2.55155420773313	35.2569164306971	10.4424828126701	3.37629633327423
SLA	0.148218347232752	2.1126456678923	0.330384979727105	3.35404486979907
HBP1	0.127369219105383	2.50557601152089	0.251459335084624	3.33852222837424
